Title,Description,Thumbnail url,Channel name,Views,Likes,Comments,Duration in seconds,Duration in timestamp,Duration,Uploaded Time,Video url
"No Man's Valley ""Time Travel"" (New Full Album) 2016 Psychedelic Blues Rock","No Man's Valley ""Time Travel"" (Full Album) 2016
Country: The Netherlands / Genres: Psychedelic Blues Rock
Tracklist:
1. The Man Who Would Be King 00:00
2. Kill The Bees 01:33
3. Sinking The Lifeboat 07:12
4. Love Or Axe Murder 11:41
5. The Wolves Are Coming 17:22
6. Man Who Walked Backwards 20:14
7. Time Travel 23:56
8. Goon 27:15

Released 10th July 2016

http://nomansvalley.com
https://www.facebook.com/nomansvalley
Buy the digital download here:
https://www.amazon.com/Time-Travel-No-Mans-Valley/dp/B01GEP84GG/ref=sr_1_5?s=dmusic&ie=UTF8&qid=1473877757&sr=1-5-mp3-albums-bar-strip-0&keywords=No+Man%27s+Valley
Buy the limited edition Vinyl (300 copies) here:
http://www.nasoni-records.com/new_releases.html#TIME_TRAVEL",https://i.ytimg.com/vi/Pu9jP33pSoE/maxresdefault.jpg,The Bong Druid Of Mammoth Weed Mountain,41700,857,72,2025,33:45,"33 Minutes, 45 Seconds",2016-07-09T19:06:17,https://www.youtube.com/watch?v=Pu9jP33pSoE
"High Priest Of Saturn ""Sons Of Earth And Sky"" (Full Album) 2016 Heavy Psychedelic Rock","High Priest Of Saturn ""Sons Of Earth And Sky"" Year: 2016
Country: Norway / Genres: Heavy Psychedelic Rock
Tracklist:
1. Aeolian Dunes 00:00
2. Ages Move the Earth 10:34
3. Son of Earth and Sky 19:43
4. The Warming Moon 28:23
5. The Flood of Waters 34:29

Released 26th February 2016

https://www.facebook.com/highpriestof...
http://highpriestofsaturn.bandcamp.co...

Vinyl version:
http://svartrecords.com/shoppe/home/3...

CD Version:
http://svartrecords.com/shoppe/home/3494-high-priest-of-saturn-son-of-earth-and-sky-cd.html?search_query=Son+of+earth+and+sky&results=2",https://i.ytimg.com/vi/y9WKj5TSL-M/maxresdefault.jpg,The Bong Druid Of Mammoth Weed Mountain,45735,956,71,2420,40:20,"40 Minutes, 20 Seconds",2016-02-27T15:05:34,https://www.youtube.com/watch?v=y9WKj5TSL-M
Mountain Witch - Cold River (This Charming Man Records) [Full Album],"Mountain Witch - Cold River
Released 2013-11-21 on This Charming Man Records

1. 00:00:00 Mountain Witch Snakewand
2. 00:03:18 Mountain Witch Shrubbery the Warlock
3. 00:08:33 Mountain Witch Ancient Light
4. 00:14:26 Mountain Witch Sleepers Chant
5. 00:20:06 Mountain Witch The Covey
6. 00:23:38 Mountain Witch Once I Am King
7. 00:29:49 Mountain Witch School of Night
8. 00:34:24 Mountain Witch Cold River


© 2013 This Charming Man Records
℗ 2013 This Charming Man Records",https://i.ytimg.com/vi/aLVcSC6WfeU/maxresdefault.jpg,CargoRecordsGermany,65207,1050,43,2353,39:13,"39 Minutes, 13 Seconds",2015-02-16T07:35:30,https://www.youtube.com/watch?v=aLVcSC6WfeU
"Savage Master - Myth, Magic and Steel (2019)","Band: Savage Master
Album: Myth, Magic and Steel
Country: USA
Label: Shadow Kingdom Records

Tracklist:

1. Myth, Magic & Steel
2. The Devil’s Ecstasy
3. The Owl
4. Flyer in the Night
5. Crystal Gazer
6. Lady of Steel
7. High Priestess
8. Far Beyond the Grave
9. Warrior vs Dragon

Lineup:

Stacey Savage – Vocals
Larry Myers - Guitars
Adam Neal – Guitars
Brandon Brown - Bass
John W. Littlejohn – Drums

Recorded at Mount Doom Studios.

Facebook: https://www.facebook.com/savagemasterofficial/
Bandcamp: https://savagemasterofficial.bandcamp.com/
Contact: savagemasterofficial@gmail.com
Instagram: https://www.instagram.com/savagemaster_official/
Label: https://www.shadowkingdomrecords.com/; https://shadowkingdomrecords.bandcamp.com/


NWOTHM Full Albums will try to gather the best of Old School Heavy Metal albums by the bands of the new generation. If you like it, buy the album.

Facebook: https://www.facebook.com/nwothmfullalbums/
Instagram: https://www.instagram.com/nwothmfull/
Patreon: http://patreon.com/nwothmfull",https://i.ytimg.com/vi/6RReP6pN-mo/sddefault.jpg,NWOTHM Full Albums,55173,1656,171,2461,41:01,"41 Minutes, 1 Seconds",2019-10-26T20:46:22,https://www.youtube.com/watch?v=6RReP6pN-mo
Traveler - Traveler (2019),"Band: Traveler
Album: Traveler
Country: Canada 
Label: Gates of Hell Records


Tracklist:

1. Starbreaker
2. Street Machine
3. Behind The Iron
4. Konamized
5. Up To You
6. Fallen Heroes
7. Mindless Maze
8. Speed Queen

Lineup:

JP Abboud - Vocals 
Matt Ries - Guitars, Bass 
Toryin Schadlich - Guitars
Dave Arnold - Bass  
Chad Vallier - Drums 

Drums recorded at A&B Records.
Vocals recorded and produced at Richbobo Studios by Jan Loncik and Matt Ries.
Mixed by Jan Loncik.
Mastered by Collin Jordan at The Boiler Room.
Artwork by Dylan “Wolfspider” Barstad.

Facebook: https://www.facebook.com/travelerheavymetal/
Bandcamp: https://travelermetal.bandcamp.com/
Instagram: https://www.instagram.com/heavymetaltraveler/
Contact: travelerband@hotmail.com
More info: https://www.metal-archives.com/bands/Traveler/3540440441
Label: https://www.gatesofhellrecords.com/; https://www.facebook.com/gatesofhellrecords/



NWOTHM Full Albums will try to gather the best of Old School Heavy Metal albums by the bands of the new generation. If you like it, buy the album.

Facebook: https://www.facebook.com/nwothmfullalbums/
Instagram: https://www.instagram.com/nwothmfull/
Patreon: http://patreon.com/nwothmfull",https://i.ytimg.com/vi/O1aVRkMsncc/sddefault.jpg,NWOTHM Full Albums,316720,7966,570,2320,38:40,"38 Minutes, 40 Seconds",2019-02-20T20:49:24,https://www.youtube.com/watch?v=O1aVRkMsncc
Sign of the Jackal - Breaking the Spell (2018),"Band: Sign of the Jackal
Album: Breaking the Spell
Country: Italy
Label: Dying Victims Productions; Wax Maniax

Tracklist:

1. Reagan
2. Night Curse
3. Class of 1999
4. Mark of the Beast
5. Heavy Rocker
6. Nightmare
7. Terror at the Metropol
8. Beyond the Door
9. Headbangers
  
Lineup:

Laura Coller - Vocals
Roberto “Bob” Condini - Guitars 
Max - Guitars
Nick “DevilDrunk” - Bass
Corra - Drums

Facebook: https://www.facebook.com/SignOfTheJackal/
Bandcamp: https://dyingvictimsproductions.bandcamp.com/album/sign-of-the-jackal-breaking-the-spell
More info: https://www.metal-archives.com/bands/Sign_of_the_Jackal/3540276003
Labels: https://www.dying-victims.de/; https://www.waxmaniax.com/



NWOTHM Full Albums will try to gather the best of Old School Heavy Metal albums by the bands of the new generation. We do not intend to cause harm to the bands and their music, only to advertise it. If any band or label don't want to be in our channel, just ask and we will take the video out.

If you like it, buy the album.",https://i.ytimg.com/vi/Z8Yj_hH9DUA/sddefault.jpg,NWOTHM Full Albums,162390,4215,324,1953,32:33,"32 Minutes, 33 Seconds",2018-07-26T17:58:34,https://www.youtube.com/watch?v=Z8Yj_hH9DUA
Riot City - Burn the Night (2019),"Band: Riot City
Album: Burn the Night
Country: Canada 
Label: No Remorse Records

Tracklist: 

1. Warrior Of Time   
2. Burn The Night    
3. In The Dark   
4. Livin' Fast
5. The Hunter    
6. Steel Rider
7. 329
8. Halloween At Midnight

Lineup: 

Cale Savy - Vocals, Guitars
Roldan Reimer - Guitars
Dustin Smith - Bass
Chad Vallier - Drums

Drums on track 8 by Ty Gogal.

Recorded by Tony Blaine at AB Studios.
Mixed by Jan Loncik at Rich Hobo Studios.
Mastered by Bart Gabriel.
Artwork by Anton Atasanov.

Facebook: https://www.facebook.com/RIOTCITYOFFICIAL
Bandcamp: https://riotcityofficial.bandcamp.com/
Instagram: https://www.instagram.com/riotcityofficial/
Contact: riotcityofficial@gmail.com
More info: https://www.metal-archives.com/bands/Riot_City/3540386380
Label: https://www.noremorse.gr/


NWOTHM Full Albums will try to gather the best of Old School Heavy Metal albums by the bands of the new generation. If you like it, buy the album.

Facebook: https://www.facebook.com/nwothmfullalbums/
Instagram: https://www.instagram.com/nwothmfull/
Patreon: http://patreon.com/nwothmfull",https://i.ytimg.com/vi/Je_f3dgxq4o/sddefault.jpg,NWOTHM Full Albums,695668,18679,1650,2229,37:09,"37 Minutes, 9 Seconds",2019-04-29T15:12:49,https://www.youtube.com/watch?v=Je_f3dgxq4o
High Priest of Saturn - High Priest of Saturn (Full album),"Stoner doom band. 
Full-length self-titled album (March 23rd, 2013).
Facebook: https://www.facebook.com/highpriestofsaturn

0:01 - ""Protean Towers""
10:32 - ""Kraken Mare""
19:40 - ""Crawling King Snake""
28:43 - ""On Mayda Insula""",https://i.ytimg.com/vi/WtEoXC9nHA0/maxresdefault.jpg,Oliver Haddo,19684,392,25,2494,41:34,"41 Minutes, 34 Seconds",2015-09-03T00:11:38,https://www.youtube.com/watch?v=WtEoXC9nHA0
Electric Wizard - Legalise Drugs and Murder (Cassette Limited Edition) (2012),"Released October 1st, 2012. Copyright goes to Satyr IX Production, I do not own the material in the video.

1. Legalise Drugs & Murder  00:00
2. Satyr IX (Demo 2012 Remastered)  06:40
3. Murder & Madness  14:17
4. Patterns of Evil (Remix 2012)  19:49 
5. Lucifer (We've Gone Too Far)  26:36
6. Our Witchcult Grows...  33:11",https://i.ytimg.com/vi/O3OX7xw4nRg/hqdefault.jpg,Alexandre Silva Alves,367353,8204,433,2154,35:54,"35 Minutes, 54 Seconds",2017-09-29T16:15:19,https://www.youtube.com/watch?v=O3OX7xw4nRg
Acoustic Wizard (2013-2014) Full Discography,"Great stoner folk act called Acoustic Wizard, featuring only Electric Wizard acoustic covers.

Please Don't Sue Me (2013):
1. Venus In Furs 00:00
2. The Chosen Few 04:54
3. Scorpio Curse 10:31

Please Don't Sue Me Vol. 2 (2013):
1. Vinum Sabbathi 16:51
2. Funeralopolis 19:41
3. Devil's Bride 27:56

Acoustic Wizard III (2014):
1. Dunwich 32:34
2. The Sun Has Turned To Black 37:58
3. Saturnine 44:08

We Hate You (2014):
1. We Hate You 52:01
2. Satyr IX 56:32

Acoustic Wizard is:
Jeff Owens (Also from Stoner Doom Metal band Goya)

If you are a band member or are involved with this record and don't want people to see/hear this, please contact me via comments or Google+ message and I'll remove it. There's no need for flags.
I do not own any copyright nor have anything to do with the band or their label. Just spreading their music/job.",https://i.ytimg.com/vi/qmNiVLDFx2g/maxresdefault.jpg,Leonardo Ortiz,212280,4297,234,3772,1:02:52,"1 Hours, 2 Minutes, 52 Seconds",2016-06-27T01:01:45,https://www.youtube.com/watch?v=qmNiVLDFx2g
